name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Xeon E-2176G,1070.23,6,3.7,4.7,80,Intel HD Graphics P630,True
AMD A4-6300,46.79,2,3.7,3.9,65,Radeon HD 8370D,False
AMD Threadripper 2970WX,1156.0,24,3.0,4.2,250,,True
Intel Xeon E5-2680 V4,1990.0,14,2.4,3.3,120,,True
Intel Celeron E3500,,2,2.7,,65,,False
Intel Core i5-6402P,104.99,4,2.8,3.4,65,Intel HD Graphics 510,False
Intel Core i3-4160,,2,3.6,,54,Intel HD Graphics 4400,True
Intel Core 2 Quad Q9550,52.55,4,2.83,,95,,False
Intel Core i5-11600,240.0,6,2.8,4.8,65,Intel UHD Graphics 750,True
Intel Core i7-920,99.0,4,2.66,,130,,True
Intel Core i7-6700,245.64,4,3.4,4.0,65,Intel HD Graphics 530,True
Intel Xeon E5-2690 V4,424.48,14,2.6,3.5,135,,True
Intel Core i7-9700K,,8,3.6,4.9,95,Intel UHD Graphics 630,False
AMD FX-8370,241.98,8,4.0,4.3,125,,False
Intel Core i9-7980XE,1193.0,18,2.6,4.4,165,,True
AMD Athlon 220GE,104.39,2,3.4,,35,Radeon Vega 3,True
AMD Ryzen 3 1200 (12nm),129.74,4,3.1,3.4,65,,False
Intel Celeron G4900T,59.95,2,1.8,,35,Intel UHD Graphics 610,False
AMD Phenom II X4 965 Black,90.0,4,3.4,,125,,False
Intel Pentium Gold G6605,69.99,2,4.3,,58,Intel UHD Graphics 630,True
Intel Celeron G5905,,2,3.5,,58,Intel UHD Graphics 610,False
Intel Core i7-5930K,,6,3.5,3.7,140,,True
Intel Pentium G640,45.0,2,2.8,,65,Intel HD Graphics,False
Intel Core i5-4430,123.85,4,3.0,,84,Intel HD Graphics 4600,False
AMD Threadripper 2920X,950.0,12,3.5,4.3,180,,True
Intel Core i9-10900K,499.99,10,3.7,5.3,125,Intel UHD Graphics 630,True
Intel Core i7-3930K,298.98,6,3.2,,130,,True
AMD FX-6120,58.53,6,3.5,4.1,95,,False
Intel Xeon E5-2698 V3,,16,2.3,3.6,135,,True
Intel Xeon E5-2680,80.0,8,2.7,3.5,130,,True
AMD FX-6350,100.0,6,3.9,,125,,False
AMD Ryzen 5 2400G,,4,3.6,3.9,65,Radeon Vega 11,True
Intel Core i9-10940X,850.0,14,3.3,4.8,165,,True
Intel Xeon E5-2620 V3,55.29,6,2.4,3.2,85,,True
AMD A10-9700,120.0,4,3.5,3.8,65,Radeon R7 (on-die),False
Intel Celeron G3900,49.99,2,2.8,,51,Intel HD Graphics 510,False
Intel Xeon E5-2699 V3,,18,2.3,3.6,145,,True
AMD A8-6600K,92.86,4,3.9,,100,Radeon HD 8570D,False
Intel Core i7-3820,,4,3.6,,130,,True
Intel Core i7-13700T,,16,1.4,4.9,35,,True
Intel Core i7-9700F,375.86,8,3.0,4.7,65,,False
AMD Athlon X4 860K,,4,3.7,4.0,95,,False
AMD Ryzen 7 1700X,,8,3.4,3.8,95,,True
Intel Xeon E5-2630,36.65,6,2.3,,95,,True
Intel Core i7-860,270.0,4,2.8,,95,,True
Intel Core i5-9600K,,6,3.7,4.6,95,Intel UHD Graphics 630,False
Intel Celeron 420,49.95,1,1.6,,35,,False
AMD 3850,,4,1.3,,25,Radeon HD 8280,False
Intel Core i7-4820K,168.0,4,3.7,3.9,130,,True
AMD Opteron 6344,77.0,12,2.6,3.2,115,,False
AMD Ryzen 7 2700,,8,3.2,4.1,65,,True
Intel Xeon E5-2660 V4,242.8,14,2.0,3.2,105,,True
Intel Core 2 Quad Q9300,42.6,4,2.5,,95,,False
AMD FX-4300,,4,3.8,,95,,False
AMD Ryzen 3 2200G,,4,3.5,3.7,65,Radeon Vega 8,False
Intel Core i5-2400S,99.07,4,2.5,,65,Intel HD Graphics 2000,False
Intel Xeon E5-2697 V2,,12,2.7,3.5,130,,True
Intel Core i9-7920X,538.5,12,2.9,4.4,140,,True
AMD FX-8350,202.57,8,4.0,,125,,False
Intel Core i7-7800X,203.44,6,3.5,4.0,140,,True
Intel Core i3-10305,109.99,4,3.8,4.5,65,Intel UHD Graphics 630,True
Intel Core i3-10300,178.24,4,3.7,4.4,65,Intel UHD Graphics 630,True
Intel Xeon E5-2650,48.96,8,2.0,2.8,95,,True
Intel Core 2 Quad Q6600,104.97,4,2.4,,100,,False
Intel Core i7-4790S,,4,3.2,4.0,65,Intel HD Graphics 4000,True
AMD A10-7850K,139.84,4,3.7,4.0,95,Radeon R7 (on-die),False
Intel Xeon E5-2620 V4,129.0,8,2.1,3.0,85,,True
Intel Core i7-6950X,499.88,10,3.0,3.5,140,,True
AMD Athlon X4 950,,4,3.5,3.8,65,,False
Intel Core i5-7500,,4,3.4,3.8,65,Intel HD Graphics 630,False
AMD FX-6100,72.8,6,3.3,,95,,False
Intel Core i9-9980XE,1998.95,18,3.0,4.4,165,,True
Intel Core i5-7400,155.0,4,3.0,3.5,65,Intel HD Graphics 630,False
AMD A6-9500,89.95,2,3.5,3.8,65,Radeon R5 (on die),False
Intel Core i3-530,50.0,2,2.93,,73,Intel HD Graphics,True
Intel Core i3-8100,232.6,4,3.6,,65,Intel UHD Graphics 630,False
AMD A8-7600,,4,3.1,3.8,65,Radeon R7 (on-die),False
Intel Core i5-9600,235.0,6,3.1,4.6,65,Intel UHD Graphics 630,False
AMD Athlon II X4 640,57.01,4,3.0,,95,,False
Intel Core i7-4960X Extreme Edition,1000.0,6,3.6,4.0,130,,True
AMD Phenom II X6 1090T Black,249.98,6,3.2,,125,,False
Intel Core i7-8700T,328.0,6,2.4,4.0,35,Intel UHD Graphics 630,True
Intel Xeon E3-1231 V3,,4,3.4,3.8,80,,True
Intel Xeon E3-1230 V5,298.95,4,3.4,3.8,80,,True
Intel Pentium G2020,94.79,2,2.9,,55,Intel HD Graphics,False
Intel Core i7-9800X,449.2,8,3.8,4.5,165,,True
Intel Core i9-7960X,595.0,16,2.8,4.4,165,,True
Intel Core i3-10100T,,4,3.0,3.8,35,Intel UHD Graphics 630,True
Intel Core i5-6400,,4,2.7,3.3,65,Intel HD Graphics 530,False
Intel Celeron G4900,79.0,2,3.1,,65,Intel UHD Graphics 610,False
AMD A12-9800,160.0,4,3.8,4.2,65,Radeon R7 (on-die),False
Intel Pentium G3258,88.86,2,3.2,,53,Intel HD Graphics,False
AMD FX-6300,86.51,6,3.5,,95,,False
AMD 5350,120.0,4,2.05,,25,Radeon HD 8400,False
Intel Xeon E5-1620 V3,69.5,4,3.5,3.6,140,,True
Intel Core i5-3550,335.0,4,3.3,,77,Intel HD Graphics 2500,False
AMD A8-9600,,4,3.1,3.4,65,Radeon R7 (on-die),False
Intel Core i5-8600K,,6,3.6,4.3,95,Intel UHD Graphics 630,False
Intel Core i5-8500T,,6,2.1,3.5,35,Intel UHD Graphics 630,False
Intel Pentium Gold G5400,99.0,2,3.7,,58,Intel UHD Graphics 610,True
Intel Core i5-7640X,148.63,4,4.0,4.2,112,,False
Intel Core i5-9600KF,314.99,6,3.7,4.6,95,,False
Intel Core i7-870,,4,2.93,,95,,True
Intel Core i5-9500F,,6,3.0,4.4,65,,False
AMD A10-7800,,4,3.5,3.9,65,Radeon R7 (on-die),False
Intel Xeon E5-2667 V3,981.57,8,3.2,3.6,135,,True
Intel Xeon E5-4620,50.0,8,2.2,2.6,95,,True
Intel Core i5-3450,245.33,4,3.1,,77,Intel HD Graphics 2500,False
Intel Core i5-4690K,160.65,4,3.5,3.9,88,Intel HD Graphics 4600,False
