name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
G.Skill Trident Z5 Neo RGB 32 GB,114.99,"[5, 5600]","[2, 16]",3.593,Black,10.0,28.0
Corsair Dominator Platinum RGB 32 GB,219.99,"[5, 7600]","[2, 16]",6.875,Black,9.474,36.0
Silicon Power XPOWER Zenith RGB Gaming 32 GB,82.97,"[5, 6000]","[2, 16]",2.593,White,13.333,40.0
TEAMGROUP T-Force Delta RGB 64 GB,179.99,"[5, 6000]","[2, 32]",2.812,White / Silver,12.667,38.0
G.Skill Trident Z RGB 32 GB,79.99,"[4, 3600]","[2, 16]",2.5,Black,10.0,18.0
G.Skill Trident Z Neo 16 GB,72.98,"[4, 3600]","[2, 8]",4.561,Black / Silver,8.889,16.0
Patriot Viper Black 16 GB,61.99,"[5, 5200]","[2, 8]",3.874,Black / White,13.846,36.0
G.Skill Ripjaws V 64 GB,129.99,"[4, 3200]","[4, 16]",2.031,Black,10.0,16.0
Corsair Vengeance LPX 32 GB,89.99,"[4, 3600]","[2, 16]",2.812,Black / Yellow,10.0,18.0
G.Skill Ripjaws V 32 GB,104.67,"[4, 4400]","[2, 16]",3.271,Black,8.636,19.0
G.Skill Ripjaws S5 32 GB,108.99,"[5, 6000]","[2, 16]",3.406,Black,10.0,30.0
Silicon Power XPOWER Zenith RGB Gaming 32 GB,58.99,"[4, 3200]","[2, 16]",1.843,Black,10.0,16.0
G.Skill Trident Z5 RGB 32 GB,114.99,"[5, 6000]","[2, 16]",3.593,Black,10.0,30.0
G.Skill Ripjaws S5 64 GB,217.99,"[5, 6400]","[2, 32]",3.406,Black,10.0,32.0
Kingston FURY Beast RGB 64 GB,249.99,"[5, 6000]","[2, 32]",3.906,Black,12.0,36.0
Timetec PINNACLE Konduit 32 GB,53.99,"[4, 3200]","[2, 16]",1.687,White,10.0,16.0
G.Skill Trident Z5 RGB 64 GB,217.99,"[5, 6000]","[2, 32]",3.406,White / Black,10.0,30.0
Corsair Vengeance RGB Pro SL 64 GB,199.99,"[4, 3600]","[4, 16]",3.125,White,10.0,18.0
G.Skill Ripjaws 8 GB,30.23,"[3, 1600]","[2, 4]",3.779,Black / Red,11.25,9.0
TEAMGROUP T-Create Expert 16 GB,30.99,"[4, 3200]","[2, 8]",1.937,Gray,10.0,16.0
Corsair Vengeance 64 GB,189.99,"[5, 6000]","[2, 32]",2.969,Gray,13.333,40.0
G.Skill Flare X5 32 GB,97.99,"[5, 5600]","[2, 16]",3.062,Black,10.714,30.0
Corsair Vengeance 32 GB,97.99,"[5, 4800]","[2, 16]",3.062,Black,16.667,40.0
G.Skill Ripjaws S5 32 GB,104.99,"[5, 6000]","[2, 16]",3.281,Black,10.667,32.0
G.Skill Trident Z5 Neo 32 GB,112.99,"[5, 5600]","[2, 16]",3.531,Black,10.0,28.0
G.Skill Trident Z5 RGB 64 GB,209.99,"[5, 5600]","[2, 32]",3.281,White / Black,10.0,28.0
Corsair Vengeance RGB RT 32 GB,149.99,"[4, 4600]","[2, 16]",4.687,Black,7.826,18.0
Crucial Pro 32 GB,94.99,"[5, 5600]","[2, 16]",2.968,Black,16.429,46.0
Kingston FURY Renegade 16 GB,58.95,"[4, 3600]","[2, 8]",3.684,Black / Silver,8.889,16.0
ADATA XPG LANCER RGB 32 GB,109.99,"[5, 6000]","[2, 16]",3.437,Black,13.333,40.0
Kingston Server Premier 64 GB,174.02,"[4, 3200]","[1, 64]",2.719,,13.75,22.0
Kingston FURY Beast RGB 16 GB,93.56,"[5, 5200]","[2, 8]",5.848,Black,15.385,40.0
G.Skill Trident Z5 RGB 32 GB,129.99,"[5, 6000]","[2, 16]",4.062,White / Black,10.0,30.0
Corsair Vengeance RGB 64 GB,244.99,"[5, 5600]","[4, 16]",3.828,Black,12.857,36.0
Patriot Viper Steel 32 GB,62.99,"[4, 3200]","[2, 16]",1.968,Silver / Black,10.0,16.0
Kingston FURY Beast 16 GB,91.96,"[5, 5600]","[2, 8]",5.747,Black / Silver,12.857,36.0
G.Skill Trident Z5 RGB 64 GB,217.99,"[5, 6000]","[2, 32]",3.406,Black,10.0,30.0
G.Skill Trident Z RGB 96 GB,409.99,"[5, 6400]","[2, 48]",4.271,Black,10.0,32.0
ADATA XPG GAMMIX D20 16 GB,36.99,"[4, 3200]","[2, 8]",2.312,Black / Silver,10.0,16.0
Samsung M378A1K43CB2-CRC 8 GB,18.18,"[4, 2400]","[1, 8]",2.272,Green,14.167,17.0
Corsair Vengeance RGB Pro SL 16 GB,59.99,"[4, 3200]","[2, 8]",3.749,White / Black,10.0,16.0
PNY XLR8 16 GB,33.99,"[4, 3200]","[2, 8]",2.124,Black / Red,10.0,16.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"[5, 6400]","[2, 16]",3.125,White,12.5,40.0
Kingston FURY Beast 64 GB,219.99,"[5, 5600]","[2, 32]",3.437,Black,14.286,40.0
OLOy MD4U083216BJDA 16 GB,,"[4, 3200]","[2, 8]",,Black,10.0,16.0
Corsair Vengeance RGB Pro 32 GB,79.98,"[4, 3600]","[2, 16]",2.499,Black,10.0,18.0
Corsair Vengeance RGB RS 32 GB,89.99,"[4, 3600]","[2, 16]",2.812,Black / Gray,10.0,18.0
Crucial Pro 32 GB,68.7,"[4, 3200]","[2, 16]",2.147,Black,13.75,22.0
Patriot Viper 3 16 GB,31.98,"[3, 1866]","[2, 8]",1.999,Black / Silver,10.718,10.0
Corsair Dominator Platinum RGB 32 GB,119.99,"[4, 3200]","[2, 16]",3.75,Black,10.0,16.0
Corsair Vengeance RGB 64 GB,264.99,"[5, 6600]","[2, 32]",4.14,Black / Gray,9.697,32.0
Corsair Vengeance RGB Pro 256 GB,1588.73,"[4, 3000]","[8, 32]",6.206,Black,10.667,16.0
Kingston FURY Beast RGB 32 GB,138.41,"[5, 5600]","[2, 16]",4.325,Black,12.857,36.0
G.Skill Flare X5 16 GB,,"[5, 5600]","[1, 16]",,Black,12.857,36.0
Corsair Vengeance RGB 32 GB,114.99,"[5, 6000]","[2, 16]",3.593,White,13.333,40.0
G.Skill Trident Z RGB 32 GB,114.99,"[4, 3200]","[4, 8]",3.593,Black,10.0,16.0
TEAMGROUP T-Create Expert 16 GB,35.99,"[4, 3600]","[2, 8]",2.249,Gray,10.0,18.0
Klevv BOLT X 16 GB,33.99,"[4, 3600]","[2, 8]",2.124,Black,10.0,18.0
Kingston HyperX Fury 16 GB,,"[4, 2666]","[2, 8]",,Black,12.003,16.0
G.Skill Trident Z RGB 32 GB,128.25,"[4, 4400]","[2, 16]",4.008,Black,8.636,19.0
G.Skill Trident Z Neo 64 GB,266.37,"[4, 3600]","[4, 16]",4.162,Black / Silver,8.889,16.0
Corsair Vengeance LPX 16 GB,39.99,"[4, 3000]","[1, 16]",2.499,Black,10.667,16.0
Samsung M378B5173DB0-CK0 4 GB,10.13,"[3, 1600]","[1, 4]",2.533,Green,13.75,11.0
Corsair Vengeance 32 GB,109.99,"[5, 5600]","[2, 16]",3.437,White,12.857,36.0
Kingston Fury Renegade RGB 16 GB,59.99,"[4, 3600]","[2, 8]",3.749,Black,8.889,16.0
Kingston FURY Beast 32 GB,89.52,"[4, 3600]","[2, 16]",2.797,Black,10.0,18.0
Timetec PINNACLE Konduit 16 GB,35.99,"[4, 3200]","[2, 8]",2.249,White,10.0,16.0
Corsair Vengeance LPX 16 GB,44.99,"[4, 2400]","[2, 8]",2.812,Black / Yellow,13.333,16.0
Corsair Vengeance 64 GB,219.99,"[5, 5600]","[4, 16]",3.437,Gray,12.857,36.0
Kingston FURY Beast 32 GB,119.99,"[5, 5200]","[2, 16]",3.75,Black / Silver,15.385,40.0
