name,price,socket,form_factor,max_memory,memory_slots,color
ASRock B450M-HDV R4.0,90.84,AM4,Micro ATX,32,2,Black / White
Asus ROG STRIX Z590-E GAMING WIFI,199.95,LGA1200,ATX,128,4,Black
MSI B450 TOMAHAWK,,AM4,ATX,64,4,Black / Silver
ASRock X570 Steel Legend WiFi ax,139.99,AM4,ATX,128,4,Black / Silver
Gigabyte B760M DS3H DDR4,119.99,LGA1700,Micro ATX,128,4,Black
MSI MPG Z690 CARBON WIFI,280.99,LGA1700,ATX,128,4,Black / Silver
Asus PRIME X670-P,242.02,AM5,ATX,128,4,Silver / Black
Asus TUF GAMING Z690-PLUS WIFI,166.99,LGA1700,ATX,128,4,Black / Gray
MSI MAG B760M MORTAR WIFI,179.95,LGA1700,Micro ATX,128,4,Black / Silver
MSI MEG X670E ACE,699.99,AM5,EATX,128,4,Black / Gold
ASRock B760 Pro RS,129.99,LGA1700,ATX,128,4,Silver / Black
ASRock H310CM-DVS,63.99,LGA1151,Micro ATX,32,2,Black
ASRock B650M PG RIPTIDE WIFI,189.99,AM5,Micro ATX,128,4,Black
MSI PRO Z690-A DDR4,189.99,LGA1700,ATX,128,4,Black / Silver
Gigabyte B660M DS3H DDR4,165.94,LGA1700,Micro ATX,128,4,Black
ASRock X670E Taichi,499.99,AM5,EATX,128,4,Black
NZXT N5 Z690,239.99,LGA1700,ATX,128,4,Black / White
MSI MPG B760I EDGE WIFI DDR4,,LGA1700,Mini ITX,64,2,Silver / Black
MSI PRO B550M-P GEN3,144.84,AM4,Micro ATX,128,4,Black
Asus PRIME B450-PLUS,125.79,AM4,ATX,64,4,Black / Silver
Gigabyte B650 AORUS PRO AX,229.99,AM5,ATX,128,4,Black
Gigabyte H510M H,98.78,LGA1200,Micro ATX,64,2,Black
Asus ROG STRIX B550-I GAMING,,AM4,Mini ITX,64,2,Black
ASRock Z690 STEEL LEGEND/D5,199.99,LGA1700,ATX,128,4,Black / White
ASRock Z590 Extreme WiFi 6E,119.99,LGA1200,ATX,128,4,Black / Blue
Asus TUF GAMING B550M-PLUS,159.99,AM4,Micro ATX,128,4,Black
Asus ROG STRIX X570-E GAMING WIFI II,,AM4,ATX,128,4,Black
Asus PRIME Z390-P,,LGA1151,ATX,128,4,Silver / Black
Gigabyte H610M S2H DDR4,89.99,LGA1700,Micro ATX,64,2,Black / Gray
Asus ROG STRIX B550-F GAMING (WI-FI),398.0,AM4,ATX,128,4,Black
NZXT N7-Z69XT-W1,323.95,LGA1700,ATX,128,4,White / Black
Asus PRIME B660M-A D4,135.99,LGA1700,Micro ATX,128,4,Silver / Black
Gigabyte Z590I AORUS ULTRA,120.99,LGA1200,Mini ITX,64,2,Black
MSI Z490-A PRO,217.16,LGA1200,ATX,128,4,Black / Silver
Asus PRIME X570-PRO,,AM4,ATX,128,4,Black / White
Asus ROG MAXIMUS Z790 APEX,1199.49,LGA1700,ATX,64,2,Silver / Black
MSI MEG Z790 ACE,579.99,LGA1700,EATX,128,4,Gold / Black
Asus ROG STRIX Z690-G GAMING WIFI,284.0,LGA1700,Micro ATX,128,4,Black / Silver
ASRock A620M Pro RS,114.99,AM5,Micro ATX,128,4,Silver / Black
Gigabyte Z390 AORUS PRO WIFI,,LGA1151,ATX,128,4,Black / Silver
Gigabyte B450M K,102.75,AM4,Micro ATX,64,2,Brown / Silver
Asus TUF GAMING B660-PLUS WIFI D4,230.64,LGA1700,ATX,128,4,Yellow / Black
Gigabyte X570S AORUS MASTER,249.99,AM4,ATX,128,4,Black / Silver
ASRock X670E Pro RS,268.99,AM5,ATX,128,4,Black
ASRock H370M-ITX/ac,99.99,LGA1151,Mini ITX,32,2,Black / Silver
Asus PRIME X670-P WIFI,272.99,AM5,ATX,128,4,Silver / Black
Gigabyte B760I AORUS PRO DDR4,179.99,LGA1700,Mini ITX,64,2,Black / Gray
Asus PRIME H610M-K D4,106.32,LGA1700,Micro ATX,64,2,Silver / Black
Asus ROG STRIX B760-F GAMING WIFI,269.99,LGA1700,ATX,128,4,Black
NZXT N7 B550,249.99,AM4,ATX,128,4,Black
ASRock Z790 Steel Legend WiFi,229.99,LGA1700,ATX,128,4,Silver / Black
Asus TUF GAMING B550-PRO,170.38,AM4,ATX,128,4,Black
ASRock H610M-HVS,79.98,LGA1700,Micro ATX,64,2,Gray / Black
Gigabyte GA-A320M-S2H,,AM4,Micro ATX,32,2,Black
Asus TUF GAMING B760-PLUS WIFI D4,199.99,LGA1700,ATX,128,4,Black / Orange
Gigabyte A520 AORUS ELITE,111.05,AM4,ATX,128,4,Black / Orange
Gigabyte A520M DS3H,94.94,AM4,Micro ATX,128,4,Black
Asus PRIME X570-P,258.98,AM4,ATX,128,4,Black / White
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),233.46,AM4,ATX,64,4,Black / Silver
MSI MPG X570S CARBON MAX WIFI,259.99,AM4,ATX,128,4,Black / Silver
Asus PRIME Z790M-PLUS,196.99,LGA1700,Micro ATX,128,4,Silver / Black
ASRock X670E Taichi Carrara,522.99,AM5,EATX,128,4,Black / White
Gigabyte B760 GAMING X DDR4,,LGA1700,ATX,128,4,Black
Gigabyte B660I AORUS Pro DDR4,281.17,LGA1700,Mini ITX,64,2,Black
MSI PRO B660M-P DDR4,125.99,LGA1700,Micro ATX,128,4,Black / Silver
MSI PRO B660-A DDR4,164.08,LGA1700,ATX,128,4,Black / Silver
Asus ROG Crosshair VIII Hero (WI-FI),381.99,AM4,ATX,128,4,Black
Gigabyte Z790 AORUS XTREME,,LGA1700,EATX,128,4,Black
MSI MPG X570 GAMING PLUS,,AM4,ATX,128,4,Black / Red
Asus Z170-A,,LGA1151,ATX,64,4,Black / White
MSI MPG Z790 EDGE WIFI DDR4,259.99,LGA1700,ATX,128,4,Silver / Black
ASRock Z790 Pro RS,189.99,LGA1700,ATX,128,4,Silver / Black
MSI MPG X570 GAMING EDGE WIFI,376.58,AM4,ATX,128,4,Black / Silver
