name,price,rpm,noise_level,color,size
Deepcool GAMMAXX GTE V2,,"[500, 1650]",27.8,Black / White,
EK Nucleus AIO CR240 Dark,119.99,"[550, 2300]",36,Black,240.0
ARCTIC Freezer 7 X CO,25.15,"[300, 2000]",,Black / Silver,
Thermalright Assassin King SE,20.9,1550,25.6,Silver / Gray,
IceGiant ProSiphon Elite,169.99,"[300, 2300]",,Black,
NZXT Kraken Elite 240,239.99,"[500, 1800]","[17.9, 30.6]",Black,240.0
EK Nucleus AIO CR360 Dark,159.99,"[550, 2300]",36,Black,360.0
MSI MAG CORELIQUID C240,103.5,"[500, 2000]","[14.3, 34.3]",Black,240.0
Corsair H100i RGB PLATINUM SE,,2200,36,White,240.0
NZXT Kraken 280 RGB,179.99,"[500, 1500]",34.48,White,280.0
NZXT T120,49.99,"[500, 1800]","[17.9, 30.6]",Black,
Corsair iCUE H100i ELITE LCD XT,259.99,"[550, 2100]","[5, 34.1]",Black,240.0
Scythe Fuma 2 Rev.B,,"[300, 1500]","[2.58, 23.8]",Black / Silver,
Thermalright AXP120-X67,34.9,1800,26.1,Black,
Corsair H100i RGB PLATINUM,,2400,37,Black / Silver,240.0
Noctua NH-C14S,79.95,"[300, 1500]","[19.2, 24.6]",,
ARCTIC Alpine 17,11.99,"[100, 2000]",,Black / White,
Corsair H60 (2018),,1700,28.3,Black,120.0
be quiet! Pure Loop 2 FX,127.71,,"[8, 32.3]",Black,240.0
ID-COOLING ZOOMFLOW X,84.99,"[700, 1500]","[18, 26.4]",White,240.0
be quiet! Shadow Rock 3,49.9,1600,"[11.5, 24.4]",Black,
Corsair iCUE H170i ELITE CAPELLIX XT,239.99,"[500, 1700]","[5, 33.8]",Black,420.0
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,,"[800, 1900]",32,Black / Silver,240.0
Vetroo V240,79.98,1800,30.8,White / Gray,240.0
EK AIO Basic 240,,"[550, 2200]",33.5,Black,240.0
Alpenföhn BLACK RIDGE,62.61,"[800, 2800]","[14, 37.6]",Black,
Thermaltake UX200 SE ARGB,19.99,"[800, 1800]",25,Black,
Thermaltake Gravity i3,16.98,"[1200, 3500]",36.5,Silver / Black,
ARCTIC Freezer 34 eSports DUO,45.99,"[200, 2100]",24.4,Red / Black,
Cooler Master MasterLiquid ML240 Illusion,131.24,"[650, 1800]","[6, 30]",Black,240.0
Deepcool AK500 WH,46.98,"[500, 1850]","[25.9, 31.5]",White,
Thermalright AXP90-X47,38.9,2700,22.4,Orange / Brown,
Thermalright AXP90-X36,25.9,2700,22.4,Gray,
Cooler Master A71C,29.99,"[650, 1800]",24.9,Black,
Thermalright AXP90-X47,24.9,2700,22.4,Black,
EK AIO 240 D-RGB,,"[450, 2600]",36.4,Black,240.0
Lian Li GALAHAD AIO 240 RGB,166.32,"[800, 1900]",,Black / Silver,240.0
Fractal Design Lumen S28 RGB V2,123.98,"[500, 1700]","[10, 35.5]",Black,280.0
Deepcool AG620,43.99,"[300, 1850]",29.4,Black / Silver,
Thermalright FT120,40.9,1850,29.6,,
Thermalright Burst Assassin ARGB,30.9,1550,25.6,Black / Silver,
Cooler Master MasterLiquid Lite 240,,"[650, 2000]","[6, 30]",,240.0
Cooler Master MasterLiquid ML240L RGB,109.99,"[650, 2000]","[6, 30]",,240.0
EVGA CLC 280,,"[600, 2200]","[16, 39.5]",,280.0
Deepcool AS500 Plus,69.98,"[500, 1200]",31.5,Black,
Thermaltake TH240 ARGB Sync,154.42,1500,28.2,White,240.0
Corsair H100x,,1700,37,Black,240.0
EK AIO Elite 360 D-RGB,210.99,"[550, 2200]",31.6,Black,360.0
EK EK-Nucleus AIO CR240 Lux D-RGB,127.99,"[550, 2300]",36,Black,240.0
Asus ROG STRIX LC II ARGB,159.99,"[800, 2500]",37.6,Black,240.0
NZXT Kraken Elite 280,249.99,"[500, 1500]","[19.4, 32.1]",Black,280.0
Enermax LIQMAX III 360 ARGB,99.99,"[500, 1600]","[14, 27]",White / Black,360.0
Phanteks Glacier One 360MPH,169.99,"[500, 2200]","[18, 34.2]",White,360.0
Gigabyte AORUS WATERFORCE 360,159.99,"[950, 2150]","[16.9, 31]",Black,360.0
Asus ROG Ryujin III ARGB,715.0,"[600, 2200]",36.45,Black,360.0
be quiet! Shadow Rock LP,49.9,1500,"[14.8, 25.5]",,
Deepcool GAMMAXX 200T,,"[900, 1600]","[17.8, 26.1]",,
Asus ROG Ryujin III,413.12,"[450, 2000]",29.7,Black,360.0
Cooler Master Hyper 212 EVO V2,94.99,"[650, 1800]","[8, 27]",Black / Silver,
Thermaltake Gravity A2,14.99,"[1200, 3500]",33.5,Silver / Black,
ARCTIC Freezer i35 A-RGB,43.52,"[200, 1700]",,Black,
Thermaltake TH120 ARGB Sync,79.98,1500,28.2,White,120.0
Lian Li Galahad AIO360 (2022),259.95,"[800, 1900]",32,Black / Silver,360.0
NZXT Kraken Z63 RGB,,"[500, 1500]","[22, 33]",Black,280.0
ARCTIC Liquid Freezer II 240 RGB,96.21,"[200, 1800]",22.5,Black / Gray,240.0
Fractal Design Lumen S36 RGB V2,134.98,"[500, 2000]","[10, 33.2]",Black,360.0
Deepcool GAMMAXX L360 A-RGB,119.99,"[500, 1800]",30,Black,360.0
Thermalright Burst Assassin,25.9,1550,25.6,Gray / Black,
ID-COOLING AURAFLOW X,74.98,"[700, 1800]","[18, 35.2]",Black,240.0
Noctua NH-D14,109.99,"[900, 1200]","[12.6, 19.8]",,
Scythe Mugen 5 Rev. B,188.28,"[300, 1200]","[4, 24.9]",Silver / Black,
Cooler Master MasterLiquid ML280 Mirror,158.27,"[650, 1400]","[10, 27]",Black,280.0
be quiet! Silent Loop 2 360,,2200,"[17.7, 39.8]",Black,360.0
Lian Li GALAHAD AIO 360 RGB,259.95,"[800, 1900]",,Black / Silver,360.0
Noctua NH-P1,109.9,,0,Silver,
Cooler Master MasterLiquid ML360R RGB,164.99,"[650, 2000]","[6, 34]",Black,360.0
be quiet! Pure Rock Slim,38.63,2000,"[13.1, 25.4]",,
